case_id,fitness,case:concept:name,Nível de Urgência,variant_index,lead_time_case,total_processing_time
5451325,1.0,5451325,Baixo,44.0,209.0,209.0
5451334,0.8333333333333334,,,,,
5451366,1.0,5451366,Idoso,2.0,122.0,122.0
5451400,1.0,5451400,Baixo,1.0,73.0,73.0
5451409,1.0,5451409,Baixo,1.0,65.0,65.0
5451433,1.0,5451433,Baixo,2.0,91.0,91.0
5451451,1.0,5451451,Idoso,2.0,71.0,71.0
5451470,1.0,5451470,Baixo,1.0,16.0,16.0
5451479,1.0,5451479,Baixo,50.0,98.0,98.0
5451489,1.0,5451489,Portador de deficiência,2.0,107.0,107.0
5451495,1.0,5451495,Baixo,49.0,55.0,55.0
5451508,1.0,5451508,Baixo,2.0,96.0,96.0
5451510,1.0,5451510,Baixo,48.0,141.0,141.0
5451513,0.9255784865540964,,,,,
5451536,1.0,5451536,Baixo,2.0,110.0,110.0
5451540,1.0,5451540,Baixo,5.0,82.0,82.0
5451547,1.0,5451547,Baixo,63.0,100.0,100.0
5451551,1.0,5451551,Baixo,2.0,86.0,86.0
5451559,1.0,5451559,Idoso,1.0,42.0,42.0
5451607,1.0,5451607,Média,51.0,174.0,174.0
5451625,0.9811320754716981,,,,,
5452028,1.0,5452028,Baixo,1.0,31.0,31.0
5452033,1.0,5452033,Baixo,1.0,27.0,27.0
5452044,1.0,5452044,Baixo,52.0,445.0,445.0
5452059,1.0,5452059,Baixo,1.0,243.0,243.0
5452067,1.0,5452067,Gestante,3.0,207.0,207.0
5452078,1.0,5452078,Baixo,3.0,167.0,167.0
5452082,1.0,5452082,Baixo,1.0,162.0,162.0
5452085,1.0,5452085,Baixo,2.0,150.0,150.0
5452086,1.0,5452086,Baixo,1.0,148.0,148.0
5452090,1.0,5452090,Baixo,1.0,26.0,26.0
5452093,1.0,5452093,Baixo,1.0,118.0,118.0
5452094,1.0,5452094,Baixo,1.0,116.0,116.0
5452097,1.0,5452097,Baixo,1.0,110.0,110.0
5452098,1.0,5452098,Baixo,1.0,21.0,21.0
5452101,1.0,5452101,Baixo,1.0,106.0,106.0
